id,Date,IP Address,Internal Notes,Entered By,Desk/Location,Question Source,Question Type
3,7/1/19 12:59,,,"Library, Architecture",Architecture,,Library Information
4,7/1/19 13:08,,,"Library, Architecture",Architecture,,Library Information
5,7/1/19 13:29,,,"Library, Architecture",Architecture,,Print/Copy
6,7/3/19 14:32,,,"Library, Architecture",Architecture,,Library Information
7,7/9/19 13:33,,,"Library, Architecture",Circulation,,Library Information
8,7/18/19 12:56,,,"Library, Architecture",Architecture,,Print/Copy
9,7/18/19 13:31,,,"Library, Architecture",Architecture,,Other; Security calling staff by phone regarding ID access for Architecture library employee
10,7/18/19 14:20,,,"Library, Architecture",Circulation,,Other; IT staff came in person to update scanners from 12 pm to 2 pm.
11,7/18/19 14:22,,,"Library, Architecture",Circulation,,Other; Call for staff at front desk 
12,7/18/19 14:23,,,"Library, Architecture",Architecture,,Other; Phone call for staff at front desk
13,7/19/19 11:43,,,"Library, Architecture",Architecture,,"[""Other"",""Facilities Management stopped by the front desk to inquire about a call from housekeeping for assistance. We were able to direct them to whe"
14,7/19/19 12:35,,,"Library, Architecture",Architecture,,Library Information; Patron came in to use a Mac and log on to the internet.
15,7/19/19 12:59,,,"Library, Architecture",Architecture,,"[""Library Information"",""Patron came in to verify that an ILL request had arrived at Atkins Library before walking over to the building to pick it up."""
16,8/1/19 13:33,,,"Library, Architecture",Circulation,,Library Information
17,8/19/19 13:09,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
18,8/19/19 13:44,,,"Library, Architecture",Architecture,Drop In,Other; Public transportation question- CATS
19,8/19/19 14:05,,,"Library, Architecture",Architecture,Drop In,Other; Public transportation question- CATS
20,8/19/19 15:24,,,"Library, Architecture",Architecture,Drop In,Campus Information
21,8/19/19 18:50,,,"Library, Architecture",Architecture,Drop In,Other; Asked for a pen
22,8/20/19 8:45,,,"Library, Architecture",Architecture,Drop In,Other; Storrs hall room location.
23,8/20/19 8:46,,,"Library, Architecture",Architecture,Drop In,Print/Copy
24,8/20/19 11:31,,,"Library, Architecture",Architecture,Drop In,Print/Copy
25,8/20/19 11:42,,,"Library, Architecture",Architecture,Drop In,General Reference
26,8/20/19 12:38,,,"Library, Architecture",Architecture,Drop In,Referral to Research Help
27,8/20/19 12:39,,,"Library, Architecture",Architecture,Drop In,Library Information
28,8/20/19 13:14,,,"Library, Architecture",Architecture,Drop In,Library Information
29,8/20/19 13:22,,,"Library, Architecture",Architecture,Drop In,Library Information; Referred to Atkins Library to pick up an ILL book(s) on hold for them. 
30,8/20/19 14:53,,Class of 7 taught by Dr. Lidia Klein came in to use space at 2:40 pm. Will be here for 40 minutes. Alerted two students studying here already about possible disruption.,"Library, Architecture",Architecture,Drop In,Other; Use of library tables for class
31,8/20/19 17:10,,,"Library, Architecture",Architecture,Drop In,Other; One person came in to use the automatic stapler. 
32,8/20/19 19:32,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
33,8/20/19 20:21,,,"Library, Architecture",Architecture,Drop In,Other; Request of shredder
34,8/20/19 21:06,,,"Library, Architecture",Architecture,Drop In,Other; Came to use the paper cutters
35,8/21/19 10:52,,,"Library, Architecture",Architecture,,Library Information
36,8/21/19 16:24,,,"Library, Architecture",Architecture,Drop In,General Reference; Asked to look for books on analytiques
37,8/21/19 19:42,,,"Library, Architecture",Architecture,,Other; IT installations
38,8/22/19 10:00,,,"Library, Architecture",Architecture,Drop In,Print/Copy
39,8/22/19 10:03,,,"Library, Architecture",Architecture,Drop In,Print/Copy
40,8/22/19 10:46,,,"Library, Architecture",Architecture,Drop In,General Reference
41,8/22/19 13:13,,,"Library, Architecture",Architecture,Drop In,"[""Other"",""Referral to COA+A office manager for Canon repair technician who wanted to know if his parking ticket could be validated. Yes, his ticket wa"
42,8/22/19 13:14,,,"Library, Architecture",Architecture,Drop In,Library Information
43,8/22/19 13:15,,,"Library, Architecture",Architecture,Drop In,"[""Other"",""New SOA office manager was given a brief tour of the library space and explanation of our research service with Jenna R. and our visual reso"
44,8/22/19 14:53,,,"Library, Architecture",Architecture,Drop In,"Other; COA+A technician coming by to introduce himself to Michelle, and check in about ticket"
45,8/22/19 15:15,,,"Library, Architecture",Architecture,Drop In,Campus Information; Came in looking for where the chair of the dance department is (Robinson)
46,8/26/19 12:34,,,"Library, Architecture",Architecture,Drop In,"Other; They needed help with the large paper cutters, they appear to be very dull and hard to cut with."
47,8/26/19 13:59,,,"Library, Architecture",Architecture,Drop In,Print/Copy
48,8/26/19 13:59,,,"Library, Architecture",Architecture,Drop In,Campus Information; Looking for Rowe
49,8/26/19 14:01,,,"Library, Architecture",Architecture,Drop In,Other; Gary from IT came in 
50,8/26/19 15:45,,,"Library, Architecture",Architecture,Drop In,Print/Copy
51,8/26/19 16:49,,,"Library, Architecture",Architecture,Drop In,Library Information
52,8/26/19 16:50,,,"Library, Architecture",Architecture,Drop In,Other; Supplies--use of stapler
53,8/26/19 17:16,,,"Library, Architecture",Architecture,Drop In,Campus Information; Came in looking for a specific room in Storrs. A map of the building would be helpful if it exists.
54,8/27/19 9:15,,,"Library, Architecture",Architecture,Drop In,Print/Copy
55,8/27/19 12:04,,,"Library, Architecture",Architecture,Drop In,Print/Copy
56,8/27/19 12:49,,,"Library, Architecture",Architecture,Drop In,Print/Copy
57,8/27/19 12:49,,,"Library, Architecture",Architecture,Drop In,Print/Copy
58,8/27/19 12:49,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
59,8/27/19 12:55,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
60,8/27/19 13:34,,,"Library, Architecture",Architecture,Drop In,Other; Use of lightbox
61,8/27/19 14:02,,,"Library, Architecture",Architecture,Drop In,Print/Copy
62,8/27/19 14:02,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
63,8/27/19 14:21,,,"Library, Architecture",Architecture,Drop In,Print/Copy
64,8/28/19 16:24,,,"Library, Architecture",Architecture,Drop In,Other; Problems in the printing lab sent a student in asking for help-resolved: printers were going to architecture library and not the lab
65,9/3/19 12:12,,,"Library, Architecture",Architecture,Drop In,Other; Use of paper cutters
66,9/3/19 12:39,,,"Library, Architecture",Architecture,Drop In,Other; Professor Ken Lambla stopped by to say hello to staff 
67,9/3/19 13:37,,,"Library, Architecture",Architecture,Drop In,Print/Copy
68,9/3/19 13:37,,,"Library, Architecture",Architecture,Drop In,Print/Copy
69,9/3/19 13:37,,,"Library, Architecture",Architecture,Drop In,Printers Not Connecting to Library PCs
70,9/3/19 13:40,,,"Library, Architecture",Architecture,Drop In,Other; School of Architecture student referred to SoA office to print out class assignment
71,9/3/19 13:43,,,"Library, Architecture",Architecture,Drop In,"[""Other"",""Daniel who works in Storrs Print Lab stopped by to explain printing policies for the lab, who maintains the printer in Room 230, and to sugg"
72,9/3/19 14:04,,,"Library, Architecture",Architecture,Drop In,Other; Student asking where room 248A is in Storrs Hall
73,9/3/19 14:50,,,"Library, Architecture",Architecture,Drop In,"Library Information; Professor Michael Swisher of SoA wanted to bring his class in here, but was able to find another room in Storrs Hall."
74,9/3/19 14:51,,,"Library, Architecture",Architecture,Drop In,Other; Dr. Lidia Klein of SoA is holding her class here of approx. 6 students 
