id,sensor_id,start_time,end_time,in_count,out_count,sensor_type,ip_address,device_type,serial_number,sensor_group,tmestamp
205412,North Exit,7/1/2019 0:15,7/1/2019 0:30,0,1,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/1/2019 0:30
205413,North Entrance,7/1/2019 0:15,7/1/2019 0:30,3,1,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/1/2019 0:30
205414,SE Entrance,7/1/2019 0:30,7/1/2019 0:45,1,0,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/1/2019 0:45
205415,North Entrance,7/1/2019 1:15,7/1/2019 1:30,1,0,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/1/2019 1:30
205416,SE Entrance,7/1/2019 3:30,7/1/2019 3:45,1,0,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/1/2019 3:45
205418,SE Entrance,7/1/2019 5:00,7/1/2019 5:15,1,0,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/1/2019 5:15
205417,SE Exit,7/1/2019 5:03,7/1/2019 5:04,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/1/2019 5:04
205419,SE Entrance,7/1/2019 5:30,7/1/2019 5:45,1,0,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/1/2019 5:45
205421,SE Entrance,7/1/2019 5:45,7/1/2019 6:00,1,0,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/1/2019 6:00
205422,North Entrance,7/1/2019 5:45,7/1/2019 6:00,1,1,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/1/2019 6:00
205420,SE Exit,7/1/2019 5:55,7/1/2019 5:56,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/1/2019 5:56
205423,SE Entrance,7/1/2019 6:00,7/1/2019 6:15,1,0,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/1/2019 6:15
205424,SE Entrance,7/1/2019 6:15,7/1/2019 6:30,1,0,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/1/2019 6:30
205425,North Exit,7/1/2019 6:30,7/1/2019 6:45,0,1,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/1/2019 6:45
205426,North Entrance,7/1/2019 6:30,7/1/2019 6:45,1,0,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/1/2019 6:45
205427,SE Entrance,7/1/2019 6:45,7/1/2019 7:00,1,1,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/1/2019 7:00
205428,Coffee Shop,7/1/2019 7:00,7/1/2019 7:15,1,1,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/1/2019 7:15
205429,SE Entrance,7/1/2019 7:00,7/1/2019 7:15,5,0,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/1/2019 7:15
205430,North Entrance,7/1/2019 7:00,7/1/2019 7:15,1,0,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/1/2019 7:15
205431,SE Entrance,7/1/2019 7:15,7/1/2019 7:30,3,0,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/1/2019 7:30
205432,North Entrance,7/1/2019 7:15,7/1/2019 7:30,3,1,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/1/2019 7:30
